,user_id,gender,ratings_count,reviews_count,year_joined,young_age,location,friends,fav_genres,groups_count,2018,avg_page_18,2019,avg_page_19,2020,avg_page_20,fav_genres2,category,category_simplified,total_page,challenge_completed
71,72,1,348,5,2015,1,EU,217,"['Art', 'Classics', 'Contemporary', 'Crime', 'Ebooks', 'Fantasy', 'History', 'Horror', 'Memoir', 'Music', 'Mystery', 'Poetry', 'Psychology', 'Romance', 'Thriller', 'Travel']",23,1,413,1,332,1,293,"['Classics', 'Fiction', 'Thriller', 'Fiction', 'History', 'Horror', 'Biography', 'Art', 'Thriller', 'Psychology', 'Romance', 'Thriller', 'Travel']","{'Fiction', 'Non-fiction'}",1,1038,3
72,73,1,341,0,2018,1,USA,176,"['Art', ""Children's"", 'Classics', 'Contemporary', 'Crime', 'Ebooks', 'Fantasy', 'Fiction', 'Graphic novels', 'Historical fiction', 'Horror', 'Humor Comedy', 'Manga', 'Mystery', 'Paranormal', 'Philosophy', 'Poetry', 'Science fiction', 'Suspense', 'Thriller', 'Young-adult']",4,0,434,0,459,1,364,"[""Children's"", 'Classics', 'Fiction', 'Thriller', 'Fiction', 'Fiction', 'Comics', 'Fiction', 'Horror', 'Humor Comedy', 'Comics', 'Thriller', 'Horror', 'Philosophy', 'Fiction', 'Thriller', 'Thriller', 'Young-adult']","{'Fiction', 'Non-fiction'}",1,1257,1
73,74,1,926,106,2012,0,Asia,442,"['Contemporary', 'Fiction', 'Historical fiction', 'Literary Fiction', 'Memoir', 'Mystery', 'Thriller', 'short-stories', 'asian-literature']",2,1,215,1,262,1,239,"['Fiction', 'Fiction', 'Fiction', 'Fiction', 'Biography', 'Thriller', 'Thriller', 'asian-literature']","{'Fiction', 'Non-fiction'}",1,716,3
74,75,1,439,0,2018,0,USA,250,"['Art', 'Chick-lit', 'Classics', 'Contemporary', 'Crime', 'Ebooks', 'Fantasy', 'Fiction', 'Graphic novels', 'Historical fiction', 'Horror', 'Humor Comedy', 'Manga', 'Mystery', 'Paranormal', 'Philosophy', 'Poetry', 'Romance', 'Science fiction', 'Suspense', 'Thriller', 'Young-adult']",4,1,468,1,372,1,386,"['Romance', 'Classics', 'Fiction', 'Thriller', 'Fiction', 'Fiction', 'Comics', 'Fiction', 'Horror', 'Humor Comedy', 'Comics', 'Thriller', 'Horror', 'Philosophy', 'Romance', 'Fiction', 'Thriller', 'Thriller', 'Young-adult']","{'Fiction', 'Non-fiction'}",1,1226,3
75,76,0,267,142,2015,0,EU,149,"['Classics', 'Fantasy', 'Fiction', 'Historical fiction', 'Science fiction']",1,1,501,1,361,1,442,"['Classics', 'Fiction', 'Fiction', 'Fiction', 'Fiction']",{'Fiction'},1,1304,3
76,77,0,609,105,2016,1,EU,164,"['Fantasy', 'Fiction', 'Horror', 'Non-fiction', 'Philosophy', 'Science fiction']",7,1,238,1,258,1,255,"['Fiction', 'Fiction', 'Horror', 'Non-fiction', 'Philosophy', 'Fiction']","{'Fiction', 'Non-fiction'}",1,751,3
77,78,0,902,605,2009,0,USA,866,"['Biography', 'Classics', 'Comics', 'Fantasy', 'Fiction', 'Graphic novels', 'Historical fiction', 'History', 'Memoir', 'Non-fiction', 'Philosophy', 'Science fiction', 'War', 'Military History']",1,1,271,1,280,1,318,"['Biography', 'Classics', 'Comics', 'Fiction', 'Fiction', 'Comics', 'Fiction', 'History', 'Biography', 'Non-fiction', 'Philosophy', 'Fiction', 'War', 'Military History']","{'Fiction', 'Non-fiction'}",0,869,3
78,79,0,367,68,2013,0,EU,58,"['Fantasy', 'Historical fiction', 'Mystery']",0,0,466,1,443,1,453,"['Fiction', 'Fiction', 'Thriller']",{'Fiction'},1,1362,2
79,80,0,76,52,2018,1,EU,481,"['Art', 'Classics', 'History', 'Non-fiction', 'Romance', 'Science']",1,0,177,0,181,0,228,"['Classics', 'History', 'Non-fiction', 'Romance', 'Science']","{'Fiction', 'Non-fiction'}",1,586,0
80,81,1,43,10,2013,1,EU,40,"['Contemporary', 'Fantasy', 'Manga', 'Music', 'Mystery', 'Poetry', 'Psychology', 'Religion', 'Romance', 'Science fiction', 'Suspense', 'Spirituality', 'Thriller', 'Travel']",0,0,280,0,243,0,189,"['Fiction', 'Fiction', 'Comics', 'Art', 'Thriller', 'Psychology', 'Religion', 'Romance', 'Fiction', 'Thriller', 'Religion', 'Thriller', 'Travel']","{'Fiction', 'Non-fiction'}",1,712,0
